id,pids,gender,name,birthDate,deathDate,photo,city,country,fid,mid,address,phone,desc
0,1,male,Yuriy Gusev,1867-09-16,1922-06-29,https://cdn.balkan.app/shared/m60/1.jpg,Nizhniy Novgorod,Russia,,,,,
1,0,female,Nastya Pushkina,1873-07-03,1933-05-05,https://cdn.balkan.app/shared/w60/1.jpg,Nizhniy Novgorod,Russia,,,,,
2,3,female,Agnessa Semenova,1909-05-03,1992-05-20,https://cdn.balkan.app/shared/w60/2.jpg,Krasnodar,Russia,0,1,,,
3,2,male,Isai Vasiliev,1907-06-22,1987-11-20,https://cdn.balkan.app/shared/m60/2.jpg,Krasnodar,Russia,,,,,
4,5,male,Yermolai Kozlov,1940-05-13,,https://cdn.balkan.app/shared/m60/3.jpg,Primorskiy kray,Russia,3,2,Neybuta, bld. 57, appt. 336,+7(4232)14-90-18,
5,4,female,Julija Popova,1942-10-02,,https://cdn.balkan.app/shared/w60/3.jpg,Primorskiy kray,Russia,21,22,Neybuta, bld. 57, appt. 336,+7(861)166-92-10,
6,10,11,12,13,male,Savin Makarov,1964-11-21,,https://cdn.balkan.app/shared/m30/1.jpg,Ivanovo,Russia,4,5,Tankista Belorossova Ul., bld. 2, appt. 51,+7(4932)86-83-67,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed mauris arcu, dapibus vitae iaculis sit amet, lobortis eget sapien. Nullam dignissim lacus pharetra libero eleifend imperdiet. Pellentesque in est id mauris ullamcorper tempor. Donec blandit ipsum nulla, eu efficitur ex pulvinar a.
7,,female,Ekaterina Fedoroa,1965-03-15,,https://cdn.balkan.app/shared/w30/1.jpg,Kemerovo,Russia,4,5,Ul Krasilnikova, bld. 24,+7(3842)45-38-84,
8,,male,Borya Sorokin,1961-12-12,,https://cdn.balkan.app/shared/m30/2.jpg,Tyumen,Russia,4,5,Lunacharskogo, bld. 57, appt. 57,+7(3452)63-71-34,
9,,male,Klavdii Zhukov,1971-01-19,,https://cdn.balkan.app/shared/m30/3.jpg,Samara,Russia,4,5,Tashkentskaya Ul., bld. 109, appt. 1,+7(846)287-81-81,
10,6,female,Efrosinia Sorokina,1977-03-03,,https://cdn.balkan.app/shared/w30/2.jpg,Rostov-na-donu,Russia,,,Lenina, bld. 175/1, appt. 43,+7(863)354-67-14,
11,6,female,Gulistanskiy Baranova,1979-04-26,,https://cdn.balkan.app/shared/w30/3.jpg,Chelyabinsk,Russia,,,Surkova, bld. 14, appt. 52,+7(351)121-01-17,
12,6,female,Praskoviya Makarova,1981-03-13,,https://cdn.balkan.app/shared/w30/4.jpg,Irkutsk,Russia,,,Topkinskiy Mkrn, bld. 57, appt. 54,+7(3952)67-30-48,
13,6,female,Mariya Popoa,1988-03-14,,https://cdn.balkan.app/shared/w30/5.jpg,Stavropol,Russia,,,Lazo Ul., bld. 103,+7(8652)97-73-24,
14,,female,Borbala Novikova,2000-12-12,,https://cdn.balkan.app/shared/w10/1.jpg,Smolensk,Russia,6,13,Soboleva Ul., bld. 116/А, appt. 4,+7(4812)17-68-17,
15,,male,Efrosin Fedorov,2001-03-22,,https://cdn.balkan.app/shared/m10/1.jpg,Smolensk,Russia,6,13,Soboleva Ul., bld. 116/А, appt. 4,+7(3842)33-11-89,
16,,female,Olya Mikhailova,2004-06-06,,https://cdn.balkan.app/shared/w10/4.jpg,Smolensk,Russia,6,13,Soboleva Ul., bld. 116/А, appt. 4,+7(3519)83-79-24,
17,,male,Venedikt Antonov,2006-04-14,,https://cdn.balkan.app/shared/m10/3.jpg,Smolensk,Russia,6,13,Soboleva Ul., bld. 116/А, appt. 4,+7(39553)5-96-59,
18,,female,Irina Sokolova,2010-01-01,,https://cdn.balkan.app/shared/w10/3.jpg,Smolensk,Russia,6,12,Soboleva Ul., bld. 116/А, appt. 4,+7(831)655-76-47,
19,20,male,Yasha Nikitin,1893-06-05,,https://cdn.balkan.app/shared/m60/4.jpg,Shelekhov,Russia,,,,,
20,19,female,Polina Guseva,1891-09-19,,https://cdn.balkan.app/shared/w60/4.jpg,Shelekhov,Russia,,,,,
21,22,male,Samuil Kozlov,1921-07-14,,https://cdn.balkan.app/shared/m60/5.jpg,Krasnoyarsk,Russia,19,20,,,
22,21,female,Borbala Morozova,1933-11-02,,https://cdn.balkan.app/shared/w60/5.jpg,Krasnoyarsk,Russia,,,,,
